 Mean of the integrated profile, Standard deviation of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve,target_class
121.15625,48.37297113,-0.013165489,3.168896321,7.449874149,65.15929771,0
76.96875,36.17555664,3.388718563,2.399665552,9.414652256,102.7229747,0
130.5859375,53.22953353,-0.297241641,2.743311037,8.508363784,74.0313242,0
156.3984375,48.86594223,-0.171293649,17.47157191,2.958065943,7.197841911,0
84.8046875,36.11765898,3.274125373,2.790133779,8.405008383,76.29112787,0
121.0078125,47.17694354,0.09133623,2.036789298,9.546051121,112.1317212,0
79.34375,42.40217372,2.24437669,141.6413043,-0.700808817,-1.200653174,0
109.40625,55.91252061,0.056246664,2.797658863,9.443282129,97.37457842,0
95.0078125,40.21980546,1.153164381,2.77006689,7.85120501,70.80193775,0
109.15625,47.00223357,0.190295686,4.578595318,5.702532189,36.3424926,0
130.0859375,46.40262441,-0.034468391,5.050167224,6.059849443,38.15478586,0
96.9375,40.53735738,0.755829381,1.971571906,11.62911954,202.68664,0
146.6953125,47.80617746,0.554926309,2.885451505,9.792420652,112.6258021,0
128.734375,48.69556005,0.30780294,5.307692308,5.497543863,32.73983291,0
102.3671875,49.8420742,0.180464824,1.918896321,11.04450759,141.9361191,0
125.609375,53.51478102,-0.413431636,2.246655518,9.713802964,129.5236723,0
150.09375,56.70047915,-0.59470588,137.1488294,-0.540918677,0.598846574,0
104.5625,46.65879305,0.165345961,0.473244147,22.81086106,559.6798641,0
115.78125,53.30571286,-0.518847463,3.565217391,7.740922135,65.02484401,0
133.125,59.95727646,-0.804890239,31.55351171,1.73517963,1.35850768,0
125.1484375,46.00001526,-0.041770772,3.218227425,7.517878845,69.18786779,0
99.28125,71.95646877,-0.82764003,197.2341137,-1.876387679,2.431296609,0
83.9375,45.71271534,1.342901713,1.747491639,11.83855704,0,0
135.1328125,47.87179674,0.37556666,5.22993311,5.787466528,39.37255786,0
111.7109375,46.57053661,-0.061646003,2.139632107,9.353872066,97.73376005,0
127.328125,45.33953665,-0.206532229,3.955685619,6.815905214,46.62379063,0
101.9140625,52.23953653,-0.291253721,9.372073579,4.12515696,16.64677944,0
108.7421875,47.58910164,0.245138892,17.37959866,2.84873868,6.628034558,0
128.484375,50.99141845,-0.495919613,1.756688963,11.75806781,152.8897009,0
102.234375,44.50780907,0.455562472,4.75083612,6.250715403,39.41359715,0
98.5703125,45.06950944,0.853318645,1.815217391,10.80026393,146.393325,0
36.7109375,38.26024216,20.29698008,107.2123746,0.115883054,-0.819637695,1
